Node1,Node2
19505,19523
20031,20038
20031,20041
20193,20199
20193,20200
21762,21814
21748,21749
21247,21249
20394,20437
20572,30490
22047,22069
22064,22116
22307,22313
22307,22314
19747,19753
19747,19754
18584,18585
20049,20055
20049,20056
20257,20260
21493,21496
21493,21503
22749,22756
22749,22759
19833,19843
19833,19853
20856,20908
18197,18198
20238,20239
19493,19502
21602,21645
20554,20606
19204,19206
19204,20492
20607,20612
20607,20622
15116,21947
19914,19921
22598,22599
23205,23210
18753,18762
15112,22075
20846,20849
15170,20357
17703,17713
22918,22928
22918,22934
19607,19617
19607,19790
15087,22810
20092,20135
18093,18094
17827,17828
15167,20394
15093,22616
21815,21820
21815,21830
18740,18749
22811,22827
22811,22837
19109,19110
23059,23061
15141,21105
18147,18157
15174,20056
17777,17787
21700,21703
21685,21692
21685,21695
19284,19294
19284,19307
19284,19324
19284,20270
19284,20295
19284,20320
20135,20145
20135,20155
21201,30243
19927,19930
15114,21868
19452,19462
19452,19464
19452,19563
19650,19654
19650,19725
19650,19736
18421,18425
23047,29515
22889,29580
22419,22424
22419,22434
23112,23155
20351,20357
20351,20358
19368,19378
15144,20962
21446,21447
17555,17565
17555,23155
21814,21815
20787,20789
17854,17874
21249,21254
22153,22155
19346,19350
20775,30399
18527,18537
18527,18539
18527,18638
17871,17874
17871,22651
17871,22654
17871,22658
18352,18353
19295,19304
23013,29541
20280,20285
18400,18409
18400,21739
19153,19161
22944,22970
19378,19388
19378,19390
19378,19452
21921,29957
17660,17669
17660,22947
21749,21752
23038,29528
20947,20952
22324,29801
15171,20199
22997,22998
20093,20109
20093,20119
22005,22011
22005,22012
22757,22759
22764,22767
21551,21556
15080,23075
22794,22810
22794,22811
21548,21549
15091,22615
22651,22673
18723,18725
18723,21254
19247,19257
19247,20368
22988,29554
20310,20329
20310,20333
21408,21418
21408,21424
19405,19415
19405,20135
20343,20348
15150,20961
18725,18729
18725,21235
18725,21246
22655,22658
15106,22249
23165,29476
20155,20171
20155,20175
15185,19817
18867,18877
18867,20998
18577,18580
18577,21434
18724,18725
22418,22419
22827,29606
18312,18322
18312,21904
19193,19203
19193,19205
19193,19267
20827,20836
20827,20839
21363,21379
21363,21383
19891,19897
19891,19898
21015,30308
17942,17952
17942,22508
22960,22963
18976,18980
21089,21091
21528,30113
22784,29619
21858,21861
18497,18507
18497,21602
20955,20961
20955,20962
20789,20794
21457,21487
18538,18540
18538,21556
19206,19210
19206,20473
19206,20484
22122,22141
22122,22145
15082,22981
19350,19351
19764,30789
15096,22551
20395,20411
20395,20421
20582,20587
21145,21148
19123,19132
19937,19940
21710,21720
21710,21726
15160,20659
19699,30815
19674,19678
19674,19680
21163,21166
19257,19267
21158,21210
22928,29567
20559,20562
18729,18739
18729,18752
18729,18769
18729,21176
18729,21201
18729,21226
19993,30711
21235,30217
15145,21025
22145,22152
22145,22155
21693,21695
22901,22903
19524,19535
20002,20003
21957,29944
19304,19338
19304,20249
15173,20200
19509,19510
15090,22773
21513,21518
21513,21528
21851,21853
15131,21407
21440,21446
20843,20846
18860,18877
18860,20999
22353,22356
22163,22169
22163,22170
18752,18753
18413,18421
18127,18137
18127,22206
19479,19480
15085,22837
15175,20119
18665,18675
18665,21343
20786,20787
22970,23022
18810,18813
18810,21116
18887,18897
18507,18517
18507,21576
20779,20786
20779,20789
18813,18823
20836,20842
21905,21921
21905,21931
21541,21548
21541,21551
17925,17935
17925,22551
20739,20749
20739,20759
18850,18860
18850,21041
17642,17643
20528,20554
